event_date,Number of Events
2009-08-19,3
2009-08-24,17
2009-08-27,1
2009-08-28,2
2009-08-30,4
2009-08-31,4
2009-09-01,29
2009-09-02,17
2009-09-03,59
2009-09-04,201
2009-09-05,242
2009-09-06,63
2009-09-08,90
2009-09-10,21
2009-09-11,52
2009-09-14,1
2009-09-18,11
2009-10-08,6
2010-07-25,20
2010-07-26,14
2010-10-13,16
2011-01-26,1
2011-03-09,16
2011-03-13,16
2011-03-14,16
2011-03-22,6
2011-04-25,2
2011-05-21,4
2011-06-09,6
2011-06-10,25
2011-06-11,101
2011-06-12,224
2011-06-13,83
2011-06-14,54
2011-06-15,19
2011-06-16,3
2011-08-21,1
2011-11-29,17
2012-08-25,5
2013-02-28,5
2013-03-05,5
2013-03-06,2
2013-03-08,17
2013-03-09,83
2013-03-10,106
2013-03-11,124
2013-03-12,134
2013-03-13,132
2013-03-14,53
2013-03-16,3
2013-03-17,16
2013-03-20,25
2014-02-22,4
2014-03-08,32
2014-03-10,22
2014-03-13,24
2014-03-14,59
2014-10-17,3
2014-10-19,12
2014-10-22,10
2014-10-23,9
2015-06-02,4
2015-06-03,1
2015-06-25,1
2015-11-01,1
2016-02-03,95
2016-02-04,27
2016-02-05,37
2016-02-06,30
2016-02-07,10
2016-02-08,62
2016-02-09,26
2016-02-10,13
2016-02-11,5
2016-02-16,2
2017-06-05,3
2017-12-02,1
2017-12-03,14
2017-12-05,123
2017-12-06,212
2017-12-07,134
2017-12-08,176
2017-12-09,57
2017-12-10,121
2017-12-11,40
2017-12-12,13
2017-12-14,4
2017-12-16,2
2017-12-18,22
2018-05-04,1
2018-05-30,18
2018-11-04,1
2018-11-05,7
2019-05-10,1
2019-05-11,6
2019-05-12,13
2019-05-13,5
2019-05-14,23
2019-05-15,35
2019-05-16,63
2019-05-17,151
2019-05-18,268
2019-05-19,78
2019-05-20,77
2019-05-21,37
2019-05-22,5
2019-05-23,15
2019-11-29,8
2020-05-05,2
2020-06-06,3
2020-06-26,5
2020-06-27,9
2020-10-20,2
2020-11-11,1
2021-03-14,8
2021-04-09,1
2021-04-10,7
2021-04-15,18
2021-04-16,21
2021-04-17,58
2021-04-18,287
2021-04-19,124
2021-04-20,131
2021-04-21,33
2021-04-22,26
2021-04-23,3
2021-04-24,20
2021-04-25,10
2021-04-26,115
2021-04-27,8
2021-04-28,1
2021-04-30,2
2021-05-01,1
2021-06-25,5
2021-07-30,6
2021-08-12,5
2021-08-25,14
2022-01-01,9
2022-03-13,15
2022-03-27,4
2022-05-18,12
2022-08-20,10
2022-08-27,13
2022-08-28,57
2022-08-30,27
2022-09-05,7
2022-10-06,1
2022-10-08,2
2022-10-09,3
2022-10-10,38
2022-10-11,57
2022-10-12,154
2022-10-13,191
2022-10-14,120
2022-10-15,67
2022-10-16,101
2022-10-17,81
2022-10-18,13
2022-11-24,6
2023-04-21,3
2023-06-10,7
2023-09-09,6
2023-09-10,4
2023-10-07,8
2023-10-22,11
2024-04-19,20
2024-04-20,6
2024-04-21,91
2024-04-22,86
2024-04-23,88
2024-04-24,191
2024-04-25,182
2024-04-26,100
2024-04-27,21
2024-04-28,63
2024-04-29,10
2024-04-30,2
2024-05-02,2
2024-05-03,2
2024-05-11,23
2024-05-12,7
2024-05-29,9
2024-05-30,14
2024-07-15,2
2024-07-29,11
2024-07-30,14
2024-07-31,8
